campaign_id,campaign_name,start_date,end_date,duration_days,channel,target_segment,budget,revenue_generated,orders_generated,new_customers,discount_offered,category_focus,roas
CAMP001,Diwali Mega Sale,2020-04-29,2020-05-06,7,Google Ads,Premium,2000000,14409406.0,14040,1867,25,Sports & Fitness,7.32
CAMP002,Republic Day Sale,2021-10-28,2021-11-05,8,Google Ads,All Customers,2000000,8221649.0,14432,2711,10,Beauty & Health,7.09
CAMP003,Independence Day Sale,2021-03-22,2021-03-29,7,SMS,All Customers,5000000,32991110.0,9125,2081,50,Office Supplies,7.08
CAMP004,End of Season Sale,2021-04-04,2021-04-15,11,Social Media,Category Specific,1000000,4214461.0,3139,896,25,Fashion,5.81
CAMP005,New Year Bonanza,2021-06-04,2021-06-09,5,Social Media,New Users,1000000,5454357.0,10021,1565,30,Automotive,2.55
CAMP006,Holi Special,2024-04-04,2024-04-11,7,Email,Premium,1000000,4803463.0,13828,846,40,Toys & Games,7.65
CAMP007,Summer Sale,2022-07-25,2022-08-01,7,Google Ads,All Customers,1000000,7886173.0,2798,980,10,Books,6.81
CAMP008,Monsoon Madness,2024-05-23,2024-05-27,4,Email,All Customers,500000,2246616.0,11268,2198,10,Office Supplies,6.57
CAMP009,Back to School,2022-12-04,2022-12-08,4,Push Notification,Lapsed,2000000,15051184.0,4636,1613,20,Beauty & Health,5.8
CAMP010,Valentine Day Sale,2021-08-27,2021-09-08,12,Google Ads,All Customers,2000000,15300335.0,12944,2886,15,Toys & Games,2.89
CAMP011,Eid Special,2023-07-19,2023-07-22,3,Social Media,Category Specific,10000000,25258040.0,3435,511,40,Fashion,2.54
CAMP012,Christmas Sale,2020-01-29,2020-02-04,6,Social Media,New Users,2000000,15393861.0,13633,2191,20,Office Supplies,2.58
CAMP013,Flash Sale Friday,2022-10-02,2022-10-07,5,Google Ads,Lapsed,1000000,7011252.0,13185,1255,25,Toys & Games,3.8
CAMP014,Big Billion Day,2022-01-25,2022-02-07,13,Social Media,New Users,2000000,15916114.0,11787,137,25,All,6.44
CAMP015,Prime Day,2021-07-04,2021-07-19,15,Push Notification,New Users,5000000,24333760.0,7334,2977,25,Toys & Games,6.7
CAMP016,Women Day Sale,2021-12-30,2022-01-13,14,Google Ads,All Customers,2000000,15341512.0,7530,1553,10,Toys & Games,4.07
CAMP017,Tech Fest,2020-01-20,2020-01-23,3,Google Ads,All Customers,10000000,78104313.0,9168,165,25,All,3.85
CAMP018,Fashion Week Sale,2021-06-06,2021-06-12,6,Influencer,New Users,5000000,18656286.0,9603,1283,40,Office Supplies,7.16
CAMP019,Grocery Month,2023-11-16,2023-11-28,12,Email,All Customers,2000000,12494613.0,10997,1679,40,Toys & Games,7.25
CAMP020,Fitness January,2024-04-17,2024-04-20,3,Social Media,Premium,5000000,35862798.0,7362,882,20,All,7.02
